feature_id,feature_name,category,summary,purpose,owner_volume,supporting_volumes,implementation_status,release_stage,priority,initial_release_required,groundwork_required_now,platform_availability,edition_availability,dependencies,risk_level,safety_classification,UX_location,API_or_service_owner,acceptance_summary,design_evidence,implementation_evidence,test_evidence,release_evidence,blocker,tentative_start_window,tentative_completion_window,timeline_confidence,release_history,replacement_feature,deprecation_notes
FEAT-0111,Industry heatmap,08 Research and news,Industry-level performance heatmap.,Market-visualization discovery tool.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0112,Portfolio heatmap,08 Research and news,Heatmap of the user's own holdings.,Visualize personal exposure at a glance.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0113,Risk-concentration heatmap,08 Research and news,Heatmap highlighting concentrated risk within a portfolio.,Surface concentration risk visually.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"The risk-concentration heatmap reflects the account's actual current position concentration, recomputed on every position change.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0114,Correlation heatmap,08 Research and news,Symbol/portfolio correlation heatmap.,Surface diversification (or lack thereof).,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0115,Implied-volatility heatmap,08 Research and news,IV heatmap across symbols/options.,Support options intelligence.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0011,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,Depends on options data provider selection.,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0116,Strategy-opportunity heatmap,08 Research and news,Heatmap of symbols matching a strategy's criteria.,Connect visualization to the strategy system.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,"Advisory (Sage, non-authoritative)",TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0117,Market breadth,08 Research and news,Advancing/declining issue counts and related breadth metrics.,Gauge overall market health.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0118,Advance/decline data,08 Research and news,Advance/decline line and related data.,Classic breadth indicator.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0119,New highs and lows,08 Research and news,52-week (or configurable) new-high/new-low tracking.,Classic breadth indicator.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0120,Sector rotation view,08 Research and news,Visualization of relative sector performance rotation over time.,Macro-level research tool.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0121,Market-regime dashboard,08 Research and news,Composite view characterizing current market regime (trending/choppy/high-vol).,Give Sage and the user shared situational context.,DS-018,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,"Advisory (Sage, non-authoritative)",TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0122,Founder Local Sage,09 Sage intelligence,"The Founder's private, locally-deployed Sage instance.",Preserve Founder research/IP privacy permanently.,DS-018,DS-003;DS-015,Designed,Stage 3 -- Founder Workstation Beta,Critical,No,Groundwork Required Now,Windows;macOS;Linux,Founder,FEAT-0001,High,"Advisory (Sage, non-authoritative)","Founder desktop/workstation runtime only -- not deployed as a web, iOS, or Android runtime",TBD,"Founder Local Sage executes only on a Founder desktop/workstation build; no web, iOS, or Android client runs Local Sage's model weights or coding tools. Mobile/web may act only as an authorized remote control/status surface for it, never as a runtime.",DS-003 (Sage AI Bible); DS-018 skeleton,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0123,Customer Cloud Sage,09 Sage intelligence,The cloud-hosted Sage service available to customer accounts.,Give customers a Sage experience without exposing Founder-private assets.,DS-018,DS-003;DS-019,Planned,Stage 4 -- Customer Cloud Beta,Critical,Yes,Groundwork Required Now,Windows;Web;iOS;Android,Customer,FEAT-0124,High,"Advisory (Sage, non-authoritative)",TBD,TBD,"A customer account can invoke Cloud Sage and receive a response, or an explicit unavailable state, with no Founder-private model weight, prompt, or research asset ever exposed in the response or its metadata.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0124,Sage bounded-agency behavioral contract,09 Sage intelligence,"ADR-002/ADR-006's non-bypass, bounded-agency guarantee.",Anchor every Sage-touching expansion feature to the same behavioral limits.,DS-003,,Designed,Stage 1 -- Local Technical Foundation,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"Sage cannot submit, modify, or cancel an order, and cannot suppress, weaken, or bypass any Risk Engine check, under any prompt or configuration.","ADR-002; ADR-006 (no Sage backend module exists yet -- Designed, not Implemented)",None,None,None -- not released,None,TBD,TBD,High,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0125,Sage model/prompt routing and versioning,09 Sage intelligence,Infrastructure routing a request to the correct model/prompt version.,Support reproducibility and audit of Sage output.,DS-018,,Idea,Stage 4 -- Customer Cloud Beta,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0126,"""Why not this trade?"" explanation",09 Sage intelligence,Sage-generated explanation of why a proposed trade did not pass validation.,Turn a rejection into an educational moment rather than a dead end.,DS-018,DS-003,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,"Advisory (Sage, non-authoritative)",TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0127,Sage usage quotas,09 Sage intelligence,Per-tier limits on Sage request volume.,Contain Sage hosting cost at scale.,DS-019,DS-018,Planned,Stage 5 -- Initial Commercial Release,Medium,Yes,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"A customer account's Sage requests are capped at its tier's configured quota; a request beyond quota is rejected with an explicit quota-exceeded response, never silently throttled.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25); Initial-release status repair (2026-07-26): reclassified Idea -> Planned. Reason: Sage-usage quotas are the specific instance FEAT-0241 (Entitlement quota engine) generalizes (see FEATURE_DEPENDENCIES.csv edge: FEAT-0241 extends FEAT-0127); cannot ship tiered Sage access commercially without it.,,
FEAT-0128,Sage research workflow (DS-RSH-006),09 Sage intelligence,Sage-orchestrated evidence-governed research workflow.,Already-approved capability; expansion registry cross-references it for completeness.,DS-002,DS-018,Planned,Stage 6 -- Advanced Trading Expansion,High,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,"Advisory (Sage, non-authoritative)",TBD,TBD,A Sage research workflow output cites the specific evidence it used and is labeled advisory; it cannot itself submit an order or mark an exit plan approved.,docs/codex/Volume-02-Product/requirements/DS-RSH-Research-Intelligence.md,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0129,Sage journal coaching (DS-JRN-005),09 Sage intelligence,"Sage's bounded, non-diagnostic journal-coaching capability.",Already-approved capability; expansion registry cross-references it for completeness.,DS-002,DS-018,Planned,Stage 6 -- Advanced Trading Expansion,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,"Advisory (Sage, non-authoritative)",TBD,TBD,"Sage's journal coaching output is bounded to non-diagnostic, non-authoritative commentary on the user's own journal entries and never issues a trading instruction.",docs/codex/Volume-02-Product/requirements/DS-JRN-Journal-and-Review.md,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0130,Sage failure-mode honesty,09 Sage intelligence,"Sage unavailability presents an explicit unavailable state, never a fabricated response.",Preserve user trust during outages.,DS-018,,Designed,Stage 4 -- Customer Cloud Beta,High,Yes,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"When Sage (Local or Cloud) is unavailable, every caller receives an explicit unavailable/degraded state; no fabricated or cached-as-live response is ever returned in place of a real one.",ADR-006 (Sage failure-mode honesty is part of the same bounded-agency contract as ADR-002),None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0131,Restricted DarkSage strategy language,10 Strategies and indicators,"A constrained, sandboxed strategy-authoring language (not arbitrary code).",Let users customize strategies without allowing arbitrary code into the deterministic execution process.,DS-002,DS-022;DS-008,Planned,Stage 6 -- Advanced Trading Expansion,High,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,High,Deterministic-Authoritative,TBD,TBD,No script written in this language can bypass deterministic risk validation.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0132,Visual strategy builder,10 Strategies and indicators,No-code/drag-and-drop strategy construction UI.,Lower the barrier to strategy customization.,DS-022,DS-002,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0131,Low,Deterministic-Authoritative,TBD,TBD,A strategy built visually compiles to the same restricted DarkSage strategy language as hand-written code and is subject to the same safety scanning (FEAT-0138) before it can run.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0133,Indicator builder,10 Strategies and indicators,User-defined custom indicator construction tool.,Allow indicator customization within the same sandbox.,DS-022,DS-002,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0131,Low,Deterministic-Authoritative,TBD,TBD,A custom indicator built with the tool runs only inside the restricted sandbox and cannot access any capability outside the indicator-builder API surface.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0134,Alert builder (strategy-linked),10 Strategies and indicators,Author an alert condition using the same restricted strategy language.,"Reuse one safe expression language across strategies, indicators, and alerts.",DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"An alert authored via the strategy-linked builder evaluates using the same restricted language and sandbox as a strategy, and cannot itself submit an order.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0135,Founder-only Python research extensions,10 Strategies and indicators,Unrestricted Python research tooling available only to the Founder.,Give the Founder full research power without exposing arbitrary code execution to customers.,DS-015,DS-002;DS-008,Idea,Stage 3 -- Founder Workstation Beta,Medium,No,Groundwork Required Now,Windows;macOS;Linux,Founder,,Medium,Deterministic-Authoritative,Founder-private workstation/development environment only,TBD,"Founder-only Python research extensions run only inside the Founder's private workstation/development environment and are never present in, or reachable from, any customer-facing build or client.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0136,Versioned strategies,10 Strategies and indicators,"Strategies are versioned; changes create a new version, not a silent mutation.",Preserve backtest/audit integrity as strategies evolve.,DS-002,,Planned,Stage 2 -- Usable Paper-Trading Alpha,High,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,Editing a published strategy creates a new version with its own identifier; the prior version remains retrievable unchanged.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0137,Versioned indicators,10 Strategies and indicators,Indicators are versioned the same way strategies are.,Preserve backtest/audit integrity.,DS-002,,Planned,Stage 2 -- Usable Paper-Trading Alpha,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"Editing a published indicator creates a new version with its own identifier, mirroring FEAT-0136 for indicators.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0138,Strategy/indicator safety scanning,10 Strategies and indicators,Automated scan of a user-authored strategy/indicator for unsafe constructs before it can run.,"Enforce the sandbox boundary mechanically, not by review alone.",DS-008,DS-002,Idea,Stage 6 -- Advanced Trading Expansion,Critical,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0131,High,Deterministic-Authoritative,TBD,TBD,"A strategy/indicator containing a disallowed construct (e.g. unbounded loop, disallowed I/O call) is rejected by the safety scan before it can be run or published, with the specific violated rule named.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0139,No arbitrary customer code in deterministic execution,10 Strategies and indicators,Explicit architectural prohibition: no customer-authored code path ever executes inside the deterministic order-validation process.,Preserve the core safety invariant regardless of how flexible strategy customization becomes.,DS-008,DS-002;DS-004,Designed,Stage 1 -- Local Technical Foundation,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,No customer-authored strategy/indicator code path can reach order submission without passing through the same deterministic validation as manually-entered orders.,ADR-002 (Sage Cannot Bypass the Risk Engine),"None -- backend/app/backtesting/validation implements walk-forward/partition validation for backtesting, not a customer-code sandboxing boundary in the live execution path.",None,None -- not released,None,TBD,TBD,High,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0140,No script bypass of risk validation,10 Strategies and indicators,Explicit prohibition mirrored for the strategy-language sandbox specifically.,Restate ADR-002's guarantee in the context of the new strategy-customization surface.,DS-008,,Designed,Stage 1 -- Local Technical Foundation,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"No script, strategy, or indicator, however authored, can suppress or skip a Risk Engine check that a manually-entered order would be subject to.",ADR-002 (Sage Cannot Bypass the Risk Engine),"None -- backend/app/backtesting/validation implements walk-forward/partition validation for backtesting, not a live risk-validation bypass guard.",None,None -- not released,None,TBD,TBD,High,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0141,Backtesting engine (core),"11 Backtesting, replay, and simulation",Core historical strategy-backtest execution engine.,Let users validate a strategy before risking capital.,DS-002,,Tested,Stage 2 -- Usable Paper-Trading Alpha,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,FEAT-0009,Low,Deterministic-Authoritative,TBD,backend/app/backtesting,A backtest run over a fixed historical dataset and fixed strategy config produces the same trade list and equity curve on repeated runs (deterministic replay).,Not Yet Designed,backend/app/backtesting/execution; backend/app/backtesting/strategy; backend/app/backtesting/validation,tests/test_backtest_engine.py; tests/test_backtest_execution.py; tests/test_backtest_strategy.py; tests/test_backtest_validation.py,None -- not released,None,Complete,Complete,High,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0142,Backtest metrics,"11 Backtesting, replay, and simulation",Standard performance metrics computed from a backtest run.,"Give users comparable, standardized results.",DS-002,,Tested,Stage 2 -- Usable Paper-Trading Alpha,High,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"Standard performance metrics (e.g. Sharpe, max drawdown, win rate) computed from a backtest run match independent recomputation from the same trade list.",Not Yet Designed,backend/app/backtesting,tests/test_backtest_metrics.py,None -- not released,None,Complete,Complete,High,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0143,Backtest comparison,"11 Backtesting, replay, and simulation",Compare two or more backtest runs side by side.,Support strategy iteration.,DS-002,,Tested,Stage 2 -- Usable Paper-Trading Alpha,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,Two backtest runs selected for comparison are displayed side by side with the same metric set computed identically for both.,Not Yet Designed,backend/app/backtesting,tests/test_backtest_comparison.py,None -- not released,None,Complete,Complete,High,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0144,Backtest robustness analysis,"11 Backtesting, replay, and simulation",Sensitivity/robustness testing across parameter ranges.,Detect overfit strategies.,DS-002,,Tested,Stage 2 -- Usable Paper-Trading Alpha,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"A robustness sweep across a parameter range reports the metric distribution across all tested parameter values, not just the single best-performing one.",Not Yet Designed,backend/app/backtesting,tests/test_backtest_robustness.py,None -- not released,None,Complete,Complete,High,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0145,Historical market replay,"11 Backtesting, replay, and simulation",Bar-by-bar replay of historical data for manual practice.,Support the Stage 5 'limited market replay' commitment.,DS-002,,Tested,Stage 5 -- Initial Commercial Release,High,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,Historical replay advances bar by bar at the user's control and never reveals data beyond the currently-replayed bar.,Not Yet Designed,backend/app/backtesting,tests/test_backtest_replay.py,None -- not released,None,Complete,Complete,High,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0146,Paper trading (basic backtesting integration),"11 Backtesting, replay, and simulation",Integration between the backtesting engine and live paper-trading state.,Support the Stage 5 'basic backtesting' and 'paper trading' commitments jointly.,DS-002,,Planned,Stage 2 -- Usable Paper-Trading Alpha,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"A paper-trading position opened from a backtest-validated strategy config uses the same order-construction path as backtesting, with live (not historical) prices.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,High,"Created in Product Expansion foundation pass (2026-07-25) Second independent-audit repair (2026-07-26): status corrected Tested -> Planned; implementation_evidence/test_evidence corrected to reflect that the cited tests cover unrelated backtesting-suite concerns, not paper-trading integration, which does not yet exist.",,
FEAT-0147,Trade proposal generation,12 Trade proposals,System-generated proposed trade from a signal/strategy match.,Central discovery-to-action surface.,DS-002,,Planned,Stage 2 -- Usable Paper-Trading Alpha,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,FEAT-0150,Low,"Advisory (Sage, non-authoritative)",TBD,TBD,A trade proposal presented to the user is clearly labeled advisory/non-authoritative and cannot itself submit an order; submission still requires the same deterministic validation as a manually-entered order.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0148,Canonical Trade Intelligence Package,12 Trade proposals,"The single, versioned object every downstream consumer (Sage, journal, execution) references.",Already-approved architecture (DS-SIG-005/DS-SCA-029); expansion registry cross-references it.,DS-002,DS-004;DS-008,Designed,Stage 2 -- Usable Paper-Trading Alpha,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,The Canonical Trade Intelligence Package assembled for a proposal contains only fields traceable to real market/account data at generation time; no field is fabricated when underlying data is unavailable.,DS-004 DS-ARC-028; DS-008 DS-SCA-029,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0149,Trade proposal history,12 Trade proposals,Retained record of past proposals and their outcomes.,Support journaling and Sage learning-from-history.,DS-002,,Planned,Stage 3 -- Founder Workstation Beta,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"Every trade proposal (approved, rejected, or expired) is retained with its outcome and is retrievable by proposal ID for later review.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0150,Deterministic Risk Engine,13 Risk and position sizing,"The core, non-bypassable risk-validation authority.",Anchor every order to a single risk authority.,DS-002,DS-004,Planned,Stage 2 -- Usable Paper-Trading Alpha,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"No order reaches the broker without passing through the Risk Engine; a Risk Engine check that has not run cannot be bypassed by any caller, including Sage-originated proposals.",DS-004 DS-ARC-011,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0151,Risk-based position sizing,13 Risk and position sizing,Position size computed from account risk tolerance and stop distance.,Prevent oversized positions regardless of strategy confidence.,DS-002,,Planned,Stage 5 -- Initial Commercial Release,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,Position size returned by risk-based sizing never exceeds the account's configured risk-per-trade limit given the order's stop distance.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0152,Portfolio exposure checks,13 Risk and position sizing,Aggregate exposure limits checked before a new position is added.,Prevent concentration risk.,DS-002,,Planned,Stage 5 -- Initial Commercial Release,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"An order that would breach a configured portfolio exposure limit (e.g. max sector concentration) is rejected before submission, with the specific limit and computed exposure stated in the rejection.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0153,Account-specific risk configuration,13 Risk and position sizing,Per-account risk limits distinct from any other account.,See DS-020's multi-account scope.,DS-020,DS-002,Idea,Stage 6 -- Advanced Trading Expansion,High,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"Per-account risk configuration (limits, thresholds) is applied to that account's orders only, and a missing configuration falls back to a documented conservative default, never to ""no limit.""",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0154,Fixed-price stops,14 Stop loss and take profit,Stop order at an explicit price.,Baseline protective-order type.,DS-020,,Planned,Stage 5 -- Initial Commercial Release,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,FEAT-0150,Low,Deterministic-Authoritative,TBD,TBD,"A fixed-price stop order submitted at price P triggers a market/limit exit when the last trade crosses P, and is rejected before submission if P is on the wrong side of the current price for the position's direction.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0155,Percentage stops,14 Stop loss and take profit,Stop order at a percentage distance from entry.,Baseline protective-order type.,DS-020,,Planned,Stage 5 -- Initial Commercial Release,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"A percentage stop computes its trigger price from entry price and the configured percentage at submission time, and is re-validated (not silently recomputed) if entry price changes before fill.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0156,Fixed-price targets,14 Stop loss and take profit,Take-profit order at an explicit price.,Baseline protective-order type.,DS-020,,Planned,Stage 5 -- Initial Commercial Release,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,A fixed-price target order triggers when the last trade crosses the configured price in the position's favorable direction.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0157,Percentage targets,14 Stop loss and take profit,Take-profit order at a percentage distance from entry.,Baseline protective-order type.,DS-020,,Planned,Stage 5 -- Initial Commercial Release,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"A percentage target computes its trigger price from entry price and the configured percentage, consistent with FEAT-0155's stop-side computation.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0158,Risk/reward targets,14 Stop loss and take profit,Take-profit derived from a configured risk/reward ratio.,Enforce disciplined reward-to-risk planning.,DS-020,,Planned,Stage 5 -- Initial Commercial Release,High,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"A risk/reward target's price is derived from the position's stop distance times the configured ratio, and is rejected before submission if no stop distance is available to derive it from.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0159,ATR stops,14 Stop loss and take profit,Stop distance derived from Average True Range.,Volatility-adjusted protective stop.,DS-020,,Planned,Stage 5 -- Initial Commercial Release,High,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,An ATR stop's distance is recomputed from the configured ATR period at order-construction time and is rejected if insufficient history exists to compute ATR.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
